Average Cost for two,Votes,Country Code,City,Currency,Has Table booking,Has Online delivery,Is delivering now,Price range,Cuisine_Count,Cuisine_avg_rating,Aggregate rating
-0.6724630660295038,-0.541557244467138,3.351163685324101,3.2977329192546585,3.351163685324101,0,0,0,1,2,2.7081395157169466,2.9
0.9834066925810585,0.1507872301844991,3.351163685324101,3.2977329192546585,3.351163685324101,0,0,0,3,2,2.5670112111649863,2.7
0.3094025129767618,0.45350349236803517,3.351163685324101,3.2977329192546585,3.351163685324101,0,1,0,2,7,2.4636880448836296,3.2
-0.6724630660295038,-0.010271194522121932,3.351163685324101,3.3314049586776857,3.351163685324101,0,1,0,1,4,3.068231904281447,3.5
0.6736733231017615,-0.49168711742964666,3.351163685324101,3.2977329192546585,3.351163685324101,0,0,0,2,2,2.566115008598273,3.0
0.0,-1.1212191210878772,3.351163685324101,3.3314049586776857,3.351163685324101,0,0,0,1,2,2.5670112111649863,0.0
1.2180264761733288,0.7970945976213536,3.351163685324101,4.1375,3.351163685324101,0,0,0,3,4,3.06971147469861,3.6
0.21677971001738924,-0.2242438242175755,3.351163685324101,3.2977329192546585,3.351163685324101,0,1,0,2,2,2.9301470588235294,3.4
0.5438330839733004,-1.1212191210878772,3.351163685324101,3.2977329192546585,3.351163685324101,0,0,0,2,3,2.5854852941353395,0.0
0.5438330839733004,0.3844089705292886,3.351163685324101,3.2977329192546585,3.351163685324101,0,1,0,2,3,2.5854852941353395,3.4
0.4717841201110243,-0.16864761047423155,3.351163685324101,3.2977329192546585,3.351163685324101,0,1,0,2,4,2.738330145408052,3.2
0.11441054097061731,-0.02087920891136649,3.351163685324101,3.2977329192546585,3.351163685324101,0,0,0,1,1,3.3299445471349354,2.7
0.8906956281906943,0.5325879247527703,3.351163685324101,3.2977329192546585,3.351163685324101,0,1,0,3,3,3.4585979814955223,4.4
1.285155586876936,0.47282358764422266,3.351163685324101,3.2977329192546585,3.351163685324101,1,1,0,3,1,2.6242258652094717,3.4
0.0,-0.37629726131453023,3.351163685324101,3.2977329192546585,3.351163685324101,0,0,0,1,1,2.6224334600760457,2.9
-0.45616691602669956,0.32726852734727385,3.351163685324101,3.935294117647059,3.351163685324101,0,0,0,1,2,2.7661950010328447,3.6
-0.9509535906389222,-0.37629726131453023,3.351163685324101,3.2977329192546585,3.351163685324101,0,0,0,1,1,2.509796557120501,3.0
0.21677971001738924,-0.8969752968703018,3.351163685324101,3.154280510018215,3.351163685324101,0,0,0,2,3,2.5854852941353395,0.0
-2.492538717669156,-0.37629726131453023,4.152272727272727,3.7,4.152272727272727,0,0,0,1,1,3.3299445471349354,3.8
0.21677971001738924,0.2087120999171861,3.351163685324101,3.2977329192546585,3.351163685324101,0,0,0,2,1,2.509796557120501,3.2
1.4069453324186099,0.4484876484351508,3.351163685324101,3.3314049586776857,3.351163685324101,1,0,0,3,3,3.4411258290797573,3.7
0.5438330839733004,0.06399968499785197,3.351163685324101,3.154280510018215,3.351163685324101,0,0,0,2,2,2.750030056104729,2.3
-1.3425191254672713,-1.1212191210878772,3.351163685324101,3.2977329192546585,3.351163685324101,0,0,0,1,1,2.509796557120501,0.0
0.3094025129767618,-0.1068382889765167,3.351163685324101,3.2977329192546585,3.351163685324101,0,0,0,2,2,2.5670112111649863,3.1
-0.27929485481125355,0.009955107097711096,3.351163685324101,3.2977329192546585,3.351163685324101,0,0,0,1,1,2.6224334600760457,3.5
-0.6724630660295038,-0.8969752968703018,3.351163685324101,3.154280510018215,3.351163685324101,0,1,0,1,1,2.509796557120501,0.0
1.2180264761733288,0.8609177393934611,3.351163685324101,3.2977329192546585,3.351163685324101,1,0,0,3,1,2.509796557120501,3.8
1.285155586876936,0.3381136362529188,3.351163685324101,3.2977329192546585,3.351163685324101,1,0,0,3,2,3.209937038250173,4.1
1.0680522955595768,0.8179200262228715,3.351163685324101,3.2977329192546585,3.351163685324101,1,1,0,3,2,3.152134459464773,4.1
0.7882186166911666,-0.34546294530545263,3.351163685324101,3.2977329192546585,3.351163685324101,1,0,0,2,3,2.8730819300091888,3.0
-3.5013376468816793,0.9322593753849815,4.0225225225225225,4.427272727272728,3.9714666666666667,0,0,0,1,3,3.9688592083223138,4.4
-2.6637960265627294,0.13784488622858393,4.177777777777778,4.073333333333333,4.177777777777778,0,0,0,2,2,3.9886206896551726,3.7
-0.45616691602669956,-0.6005410855321057,3.351163685324101,3.2977329192546585,3.351163685324101,0,0,0,1,1,2.557296954314721,3.0
2.3543954010678645,0.8367252488928786,3.351163685324101,3.2977329192546585,3.351163685324101,1,0,0,4,1,2.6242258652094717,4.0
0.4717841201110243,-0.2242438242175755,3.351163685324101,3.3314049586776857,3.351163685324101,0,0,0,2,2,2.566115008598273,3.2
-0.45616691602669956,-1.1212191210878772,3.351163685324101,3.2977329192546585,3.351163685324101,0,0,0,1,2,2.438714848838776,0.0
1.285155586876936,0.2712124479214534,3.351163685324101,3.3314049586776857,3.351163685324101,1,0,0,3,1,3.3299445471349354,3.8
0.7882186166911666,0.8382441035754168,3.351163685324101,3.3314049586776857,3.351163685324101,1,1,0,2,2,2.750030056104729,3.6
0.0,0.25782369096087165,3.351163685324101,3.2977329192546585,3.351163685324101,0,1,0,1,1,2.443463497453311,3.6
-0.6724630660295038,-0.448487648435151,3.351163685324101,3.2977329192546585,3.351163685324101,0,1,0,1,2,2.7361484771573608,2.8
